English,Hindi
Rectilinear scanning,सरलरेखीय क्रमवीक्षण
Rectilinear uniform motion,ऋजुरेखीय एकसमान गति
Rectilinear velocity,रेखीय वेग
Recur,"पुनः होना, पुनरावृत्ति होना"
Recurrent event,पुनरावर्ती घटना
Recurrent network,पुनरावर्ती जाल
Recycling (=double pulsing),पुनःचालन (स्पंदोत्पादन)
Red adder,लाल योजक
Red dwarf star,लाल वामन तारा
Red gaint,"रक्त दानव, लाल दानव"
Red gaint star,लाल दानव तारा
Red heat,लाल ताप
Red herring,लाल हेरिंग
Red hot,लाल तप्त
Red shift,अभिरक्त विस्थापन
Red-hot surface,रक्त तप्त पृष्ठ
Red' gun,लाल' प्रक्षेपी
Redox system,"रेडॉक्स तंत्र, अपोपचय तंत्र"
Redox titration,"रेडॉक्स अनुमापन, रेडॉक्स अपोपचय"
Reduce,"कम करना, समानयन करना, अपचयन करना"
Reduced bearing,समानीत दिक्मान
Reduced brightness (of comet),(धूमकेतु की) समानीत द्युति
Reduced data,परिष्कृत दत्त
Reduced equation of state,समानीत अवस्था समीकरण
Reduced mass,समानीत द्रव्यमान
Reduced mass effect,समानीत द्रव्यमान प्रभाव
Reduced modulus of elasticity,लघुकृत प्रत्यास्थता गुणांक
Reduced pressure,समानीत दाब
Reduced real image,लघुकृत वास्तविक प्रतिबिंब
Reduced width,परिवर्तित चौड़ाई
Reducible,"समानेय, लघूकरणीय, आबिंदुकोची, अपचेय"
Reducible circuit,आबिन्दुकोची परिपथ
Reducible path,आबिन्दुकोची पथ
Reduction cell,अपचयन सेल
Reduction factor,परिवर्तन गुणांक
Reduction gear,न्यूनकारी गिअर
Reductone,रिडक्टोन
Redundancy,अतिरिक्तता
Redundant circuit,अतिरिक्त परिपथ
Reed,रीड
Reed (type)relay,रीड रिले
Reed band,रीड बैंड
Reed organ,रीड आर्गन
Reed pipe,रीड-पाइप
Reed relay,रीड रिले
Reference,"निर्देश, संदर्भ"
Reference angle,निर्देश कोण
Reference black level,"संदर्भी कृष्ण स्तर, कृष्ण निर्देश तल"
Reference cell,संदर्भ सेल
Reference datum,"निर्देशदत्त, उपमान दत्त"
Reference electrode,निर्देश इलेक्ट्रोड
Reference line,"संदर्भ रेखा, निर्देश रेखा"
Reference mark,निर्देश चिह्न
Reference noise,निर्देश रव
Reference number,संदर्भ अंक
Reference point,"निर्देश बिंदु, संदर्भ बिंदु"
Reference scale,निर्देश मापक्रम
Reference signal,निर्देश संकेत
Reference station,"संदर्भ स्टेशन, संदर्भ चाँदा"
Reference system,निर्देश तंत्र
Reference time,निर्देश समय
Reference white level,"संदर्भी श्वेत स्तर, श्वेत निर्देश तल"
Refined technique,परिष्कृत तकनीक
Refinement cycle,अधिशोधन चक्र
Reflectance densitometer,परावर्तकता घनत्वमापी
Reflectane,परावर्तकता
Reflected,"परावर्तित, प्रतिबिंबित, बहिर्नत"
Reflected ray,परावर्तित किरण
Reflected resistance,परावर्तित प्रतिरोध
Reflected wave,परावर्तित तरंग
Reflecting baked enamel finish,परावर्ती भर्जित इनेमल परिसज्जा
Reflecting barrier,परावर्ती अवरोध
Reflecting efficiency,परावर्तन दक्षता
Reflecting goniometer,परावर्तन कोणमापी
Reflecting power,परावर्तन क्षमता
Reflecting surface,परावर्ती पृष्ठ
Reflection,परावर्तन
Reflection coefficient,"परावर्तन गुणांक, परावर्तनांक"
Reflection coincidence,परावर्तन संपात
Reflection density,परावर्तन घनत्व
Reflection effect,परावर्तन-प्रभाव
Reflection factor,परावर्तन गुणक
Reflection galvanometer,परावर्तन धारामापी
Reflection grating,परावर्तन ग्रेटिंग
Reflection grating monochromator,परावर्तन-ग्रेटिंग एकवर्णित्र
Reflection interval,परावर्तन अंतराल
Reflection interval radar,परावर्तनांतराल रैडार
Reflection layer,परावर्तक स्तर
Reflection loss,परावर्तनिक हानि
Reflection magnetometer,परावर्तन चुंबकत्वमापी
Reflection maxima,परावर्तन भूयिष्ठ
Reflection nebula,परावर्तन-नीहारिका
Reflection parameter,परावर्तन प्राचल
Reflection pattern,परावर्तन चित्राम
Reflection plotter,परावर्तन आलेखित्र
Reflection power,"परावर्तन क्षमता, परावर्तकता"
Reflection telescope,परावर्ती दूरदर्शक
Reflection-absorption spectroscopy,परावर्तन-अवशोषण स्पेक्ट्रमिकी
Reflective optics (=projectionoptics),"प्रक्षेप प्रकाशिकीय व्यवस्था, प्रक्षेप प्रकाशिकी"
Reflective power,परावर्तन क्षमता
Reflectivity,परावर्तकता
Reflectivity correction,परावर्तकता संशोधन
Reflectivity correlation,परावर्तकता सहसंबंध
Reflectivity factor,परावर्तकता गुणक
Reflectometer,परावर्तनमापी
Reflector,परावर्तक
Reflector electrode,परावर्ती इलेक्ट्रोड
Reflector layer,परावर्तक स्तर
Reflector tracker (=plotting plate),आलेखन पट्टिका
Reflectoscope,परावर्तनदर्शी
Reflex baffle,प्रतिवर्ती व्यारोध
Reflex camera,रिफ्लैक्स कैमरा
Reflex centre,प्रतिवर्ती केन्द्र
Reflex circuit,प्रतिवर्ती परिपथ
Reflex condenser,पश्चवाही संघनित्र
Reflex klystron,प्रतिवर्ती क्लाइस्ट्रॉन
Reflex klystron oscillator,प्रतिवर्ती क्लाइस्ट्रॉन दोलक
Reflex mechanism,प्रतिवर्ती क्रियाविधि
Reflex stimulation,प्रतिवर्ती उद्दीपन
Reflexed,"वलित, नत"
Reflux ratio,पश्चवाही अनुपात
Refocussion method,पुनः फ़ोकसन विधि
Refracted,अपवर्तित
Refracted ray,अपवर्तित किरण
Refracting power,अपवर्तन क्षमता
Refracting prism,अपवर्तक प्रिज़्म
Refracting surface,अपवर्तक पृष्ठ
Refraction,अपवर्तन
Refraction correction,अपवर्तन संशोधन
Refraction error,अपवर्तन त्रुटि
Refraction monochromator,अपवर्तन एकवर्णित्र
Refractionation,पुनःप्रभाजन
Refractive eddies,अपवर्तन भंवर
Refractive index,अपवर्तनांक
Refractivity,अपवर्तकता
Refractometer,अपवर्तनांकमापी
Refractometric measurement,अपवर्तनांक मापन
Refractometric method,अपवर्तनमिति पद्धति
Refractory period,"अनुक्रियाहीन काल, अनुत्तेजन अवधि"
Refrangibility,अपवर्तनशीलता
Refrigeration,प्रशीतन
Refrigeration cycle,प्रशीतन चक्र
Refrigeration injury,प्रशीतन क्षति
Refrigeration plant,प्रशीतन संयन्त्र
Refrigerator,"प्रशीतित्र, रेफ्रिजरेटर"
Refrigerator bag,"प्रशीतित्र थैला, रेफ्रिज़रेटर बैग"
Refringent body,अपवर्तक पिंड
Regelation,पुनर्हिमायन
Regenerant,"पुनरभिकारक, पुनःअभिकारक"
Regeneration,"पुनरूदभवन, संपोषी पुनर्निवेशन, पुनर्जनन"
Regeneration coupling,पुनर्जनन युग्मन
Regenerative,"पुनर्जननी, पुनर्योजी, पुनरूत्पादक"
Regenerative,पुनर्योजी
Regenerative amplifier,पुनर्योजी प्रवर्धक
Regenerative cooling,पुनर्निवेशी शीतलन
Regenerative cycle,पुनर्योजी चक्र
Regenerative operation,पुनर्योजी प्रचालन
Regenerative system,पुनर्योजी तंत्र
Regenerative voltage,"संपोषक वोल्टता, पुनर्योजी वोल्टता"
Regenerator,पुनर्योजित्र
Regge theory,रैगे सिद्धांत
Regional address,प्रदेशीय पता
Register,"पंजी, रजिस्टर, पंजीयन"
Registration,"रजिस्ट्रेशन, पंजीकरण"
Regress,"प्रतिगमन, प्रतिक्रमण"
Regression,"वक्री गति, पश्च गमन, समाश्रयण, प्रतिक्रमण"
Regression line,समाश्रयण रेखा
Regression plane,समाश्रयण-समतल
Regressive burning,दाबक्षयी ज्वलन
Regrowth layer,पुनःरोहण परत
Regular,"सम, नियमित, सममित"
Regular doublet,"नियमित द्विक, चक्रणद्विक"
Regular force,नियमित बल
Regular motion,नियमित गति
Regular orbit,नियमित कक्षा
Regular parameter,नियमित प्राचल
Regular perturbation problem,नियमित क्षोभ समस्या
Regular precession,नियमित पुरस्सरण
Regular prism,समभुजाधार प्रिज़्म
Regular refelection,नियमित परावर्तन
Regular rhythm,नियमित लय
Regular solid,समफलकी ठोस
Regular yield locus,नियमित पराभव बिंदु पथ
Regulate,नियंत्रण करना
Regulated power supply (=stabilised power supply),"नियमित शक्ति प्रदायी, स्थायीकृत शक्ति प्रदायी"
Regulating resistance,नियंत्र प्रतिरोध
Regulating screw,नियामक पेंच
Regulating shutters,नियामक कपाट
Regulation,नियमन
Regulation of output,निर्गम नियमन
Regulator,"नियामक, नियंत्रक"
Regulator clock,नियामक घड़ी
Rehbock Wier formula,रेबॉक वायर सूत्र
Reheat factor,पुनः तापन गुणांक
Reheat test,पुनः तापन परीक्षण
Reike diagram,राइके आरेख
Reinserted carrier,पुनर्निविष्ट वाहक
Rejeciton band,निराकृत बैंड
Rejected heat,निराकृत ऊष्मा
Rejection,निराकरण
Rejection level,अस्वीकरण स्तर
Rejector circuit,अस्वीकारी परिपथ
Relation,संबंध
Relative,"आपेक्षिक, सापेक्ष"
Relative acceleration,आपेक्षिक त्वरण
Relative address,सापेक्ष पता
Relative address part,सापेक्ष पता-अंश
Relative address register,आपेक्षिक पता पंजी
Relative addressing,सापेक्ष पताभिगमन
Relative age,आपेक्षिक आयु
Relative altitude,आपेक्षिक उच्चता
Relative angular momentum,आपेक्षिक कोणीय संवेग
Relative aperture,आपेक्षिक द्वारक
Relative bearing,आपेक्षि दिक्मान
Relative chalkrating,सापेक्ष विघटन दर
Relative conductivity,आपेक्षिक चालकता
Relative coordinates,आपेक्षिक निर्देशांक
Relative degree,सापेक्ष मात्रा
Relative delay,आपेक्षिक विलंब
Relative density,आपेक्षिक घनत्व
Relative direction,आपेक्षिक दिशा
Relative error,आपेक्षिक त्रुटि
Relative frequency,"आपेक्षिकत बारंबारता, आपेक्षिक आवृत्ति"
Relative fugacity,सापेक्ष पलायनता
Relative gravity,आपेक्षिक गुरूत्व
Relative hearing loss,सापेक्ष श्रवण हानि
Relative height,आपेक्षिक ऊंचाई
Relative humidity,आपेक्षिक आर्द्रता
Relative loss factor,सापेक्ष हानि-कारक
Relative mass,आपेक्षिक द्रव्यमान
Relative maximum,आपेक्षिक उच्चतम
Relative minimum,आपेक्षिक निम्नतम
Relative position,आपेक्षिक स्थिति
Relative precision,आपेक्षिक परिशुद्धता
Relative prime,सापेक्ष अभाज्य
Relative probability (=conditional probability),आपेक्षिक प्रायिकता
Relative quiescence,"सापेक्ष निश्चलता, सापेक्ष मंदक्रियता"
Relative rotation,आपेक्षिक घूर्णन
Relative stopping power,आपेक्षिक निरोधी क्षमता
Relative sunspot number,आपेक्षिक सूर्य कलंक संख्या
Relative uniformity,सापेक्ष परिवेशक
Relative vector,सापेक्ष सादिश
Relative velocity,आपेक्षिक वेग
Relatively steady motion,सापेक्षतः अपरिवर्ती गति
Relativistic,आपेक्षिकीय
Relativistic aberration formula,आपेक्षिकीय अपेरण-सूत्र
Relativistic analogy,आपेक्षिकीय अनुरूपता
Relativistic correction,आपेक्षिकीय संशोधन
Relativistic cosmology,आपेक्षिकीय ब्रह्मांडिकी
Relativistic derivation,आपेक्षिकरीय व्युत्पत्ति
Relativistic effect,आपेक्षिकीय प्रभाव
Relativistic electro-magnetic theory,आपेक्षिकीय विद्युत् चुम्बकीय सिद्धान्त
Relativistic electrodynamics,आपेक्षिकीय विद्युत्गतिकी
Relativistic eneregy relation,आपेक्षिकीय ऊर्जा-सूत्र
Relativistic energy theory,आपेक्षिकीय ऊर्जा प्रमेय
Relativistic equation,आपेक्षिकीय समीकरण
Relativistic field equation,आपेक्षिकीय क्षेत्र समीकरण
Relativistic first law,आपेक्षिकीय प्रथम नियम
Relativistic formula,आपेक्षिकीय सूत्र
Relativistic Hugoniot equation,आपेक्षिकीय ह्यूगोनियो समीकरण
Relativistic hydrodynamics,आपेक्षिकीय द्रवगतिकी
Relativistic interaction,आपेक्षिकीय अन्योन्यक्रिया
Relativistic interaction energy,आपेक्षिकीय अन्योन्यक्रिया ऊर्जा
Relativistic invariance,आपेक्षिकीय निश्चरता
Relativistic kinetic energy,आपेक्षिकीय गतिज ऊर्जा
Relativistic Lagrangian,आपेक्षिकीय लग्रांजियन
Relativistic magnetohydrodynamics,आपेक्षिकीय चुंबक द्रवगतिकी
Relativistic mass,आपेक्षिकीय द्रव्यमान
Relativistic mass relaxation,आपेक्षिकीय संहति शिथिलन
Relativistic mechanics,"आपेक्षिकीय यांत्रिकी, आपेक्षिकीय बल विज्ञान"
Relativistic optics,आपेक्षिकीय प्रकाशिकी
Relativistic particle,आपेक्षिकीय कण
Relativistic physics,आपेक्षिकीय भौतिकी
Relativistic quantum field theory,आपेक्षिकीय क्वांटम क्षेत्र सिद्धांत
Relativistic second law,आपेक्षिकीय द्वितीय नियम
Relativistic theory,आपेक्षिकीय सिद्धांत
Relativistic theory of elasticity,आपेक्षिकीय प्रत्यास्थता सिद्धांत
Relativistic thermodynamical fluid,आपेक्षिकीय ऊष्मागतिक तरल
Relativistic thermodynamics,आपेक्षिकीय ऊष्मागतिकी
Relativistic track,आपेक्षिकीय लीक
Relativistic unit,आपेक्षिकीय एकक
Relativistic wave theory,आपेक्षिकीय तरंगवाद
Relativistically invariant,आपेक्षिकतः निश्चर
Relativity,"आपेक्षिकता, रिलेटिविटी, आपेक्षिकी"
Relativity acceleration,आपेक्षिकता त्वरण
Relativity doublet,आपेक्षिकी द्विक
Relativity line element,आपेक्षिकीय रेखा अल्पांश
Relativity mechanics,आपेक्षिकता बलविज्ञान
Relativity of centrifugal force,अपकेन्द्र बल की आपेक्षिकता
Relativity of motion,गति की आपेक्षिकता
Relativity of time,"समय की आपेक्षिकता, काल की आपेक्षिकता"
Relativity precession,आपेक्षिकीय पुरस्सरण
Relativity principle,आपेक्षिकता नियम
Relativity theory,आपेक्षिकता सिद्धांत
Relativization,सापेक्षीकरण
Relativized product topology,सापेक्षीकृत गुणन संस्थिति
Relaxant,विश्रांतक
Relaxation,विश्रांति
Relaxation effect,विश्रांति प्रभाव
Relaxation frequency,विश्रांति आवृत्ति
Relaxation function,विश्रांति फलन
Relaxation generator,विश्रांति जनित्र
Relaxation length,विश्रांति दैर्घ्य
Relaxation method,विश्रांति विधि
Relaxation oscillation,विश्रांति दोलन
Relaxation oscillator,विश्रांति दोलित्र
Relaxation pattern,विश्रांति प्रतिरूप
Relaxation phenomenon,विश्रांति परिघटना
Relaxation spectrum,विश्रांति स्पेक्ट्रम
Relaxation technique,विश्रांति तकनीक
Relaxation test,विश्रांती परीक्षण
Relaxation time,विश्रांति काल
Relaxed inspection standard,विश्रांत निरीक्षण मानक
Relay,"रिले, प्रतिसारण"
Relay radar,रिले रेडार
Relay television,रिले टेलीविज़न
Relay transmitter,रिले प्रेषित्र
Release of mechanical strain,यंत्र-तनाव मोचन
Release valve,मोचन वाल्व
Released energy,मोचित ऊर्जा
Releasing key,मोचनन कुंजी
Releasing magnet,मोचन चुम्बक
Relevant data,सुसंगत आँकड़े
Reliability,विश्वसनीयता
Reliability coefficient,विश्वसनीयता गुणांक
Reliability factor,विश्वसनीयतांक
Reliability function,विश्वसनीयता फलन
Reliability index,विश्वस्तता सूची
Reliability of measurement,माप की विश्वसनीयता
Relieving anode,सहायक ऐनोड
Relilability of test,परीक्षण विश्वसनीयता
Relocation,पुनर्वस्थापन
Relocation factor,पुनर्वस्थापन गुणक
Reluctance,प्रतिष्टम्भ
Reluctivity,प्रतिष्टंभिता
Reluctometer,प्रतिष्टंम्भमापी
Rem (r.em. = Roentgen equivalent mass),रेम
Remaining mass,अवशिष्ट द्रव्यमान
Remanent coercive force,अवशिष्ट निग्रह बल
Remanent induction,अवशिष्ट प्रेरण
Remanent magnetiation,अवशिष्ट चुंबकन
Remanent magnetism,अवशिष्ट चुंबकत्व
Remodulation,मॉडुलनान्तरण
Remormalization theory,पुनः प्रसामान्यीकरण सिद्धांत
Remote control,सुदूर नियंत्रण
Remote cut off pentode,"चर म्यू पेन्टोड, सुदूर अंतक पेन्टोड"
Remote cut off tube,सुदूर अंतक नलिका
Remote data indicator,सुदूर दत्त सूचक
Remote indicator,सुदूर सूचक
Remote location,सुदूर स्थिति
Remote metering,सुदूर मापन
Removable oscillation,अपनेय दोलन
Renewable energy,नवीकरणीय ऊर्जा
Renormalized field,पुनः प्रसामान्यीकृत क्षेत्र
Renormalized quation,पुनः प्रसामान्यीकृत समीकरण
Renormallized field equation,पुनः प्रसामान्यीकृत क्षेत्र समीकरण
Reorientation,"पुनः अभिविन्यास, पुनर्दिक विन्यास"
Rep (Roentgen equivalent physical),रेप
Repeat distance,पुनरावर्तन दूरी
Repeatability,पुनरावर्तनीयता
Repeated angle,पुनरावृत्त कोण
Repeated loading,पुनरावृत्त उद्भारण
Repeater,"रिपीटर, पुनरावर्तक"
Repeater jammer,पुनरावर्ती संबाधक
Repeater transmitter (=slave transmitter,"पुनरावर्तक प्रेक्षित्र, रिपीटर ट्रान्समीटर"
Repeating coil,पुनरावर्ती कुंडली
Repeating decimal,पुनरावर्ती दशमलव
Repeating insturment,पुनरावर्ती-यंत्र
Repel,"प्रतिकर्षित करना, प्रतिकर्षित होना"
Repeller space,प्रतिकर्षी अवकाश
Repelling,प्रतिकर्षी
Repetition,पुनरावृत्ति
Repetition frequency (=repetition rate),पुनरावर्तन आवृत्ति
Repetition rate,पुनरावर्तन आवृत्ति
Repetitional development,पुनरावर्ती परिवर्धन
Repetitive peak forward current,पुनरावर्ती चरम अग्र धारा
Repetitive peak reverse voltage,पुनरावर्ती चरम प्रतिवोल्टता
Repetitive sampling,पुनरावृत्तीय प्रतिचयन
Replacement,प्रतिस्थापन
Replacement collision,प्रतिस्थापन संघटट
Replacement control,प्रतिस्थापनी नियंत्रण
Replacement tube,"बदल नलिका, प्रतिस्थापन नलिका"
Replay pulse,प्रत्युत्तर स्पंद
Replenisher,पुनःपूरक
Replica,प्रतिकृति
Replica grating,प्रतिकृति ग्रेटिंग
Replica method,प्रतिकृति विधि
Replica plating,प्रतिकृति प्लेटन
Replica technique,प्रतिकृति तकनीक
Replicated,प्रतिकृत
Replication,"प्रतिकृति, पुनरावृत्ति"
Replication phase,प्रतिकृति प्रावस्था
Repller electrode,प्रतिकर्षी इलेक्ट्रोड
Report,"प्रतिवेदन, रिपोर्ट"
Report generator,प्रतिवेदन जनक
Report programme generator,रिपोर्ट क्रमादेश जनित्र
Represent,"निरूपित करना, निरूपण करना"
Representation,निरूपण
Representative,"प्रतिनिधि, निरूपक"
Representative element,निरूपक अवयव
Reproducibility,"पुनरूत्पादन-भमता, पुनरूत्पाद्यता"
Reproducible,"पुनः प्राप्य, पुनरूत्पाद्य"
Reproducing head,पुनरूत्पादन अग्र
Reproducing punch,पुनरूत्पादी छिद्रक
Reproduction,"पुनरूत्पादन, जनन, चित्रोत्पादन"
Reproduction factor,पुनरूत्पादन गुणक
Reproduction rate,जनन-दर
Reproductive property,पुनरूत्पादी गुणधर्म
Reprresentative velocity curve,निरूपक वेग-वक्र
Repulsed,"प्रतिकर्षित करना, प्रतिकर्षित होना"
Repulsion,प्रतिकर्षण
Repulsion exponent,प्रतिकर्षण घातांक
Repulsion motor,प्रतिकर्षण मोटर
Repulsive force,"प्रतिकर्षी बल, प्रतिकर्षण बल"
Repulsive interaction,प्रतिकर्षी अन्तः क्रिया
Repulsive potential,प्रतिकर्षी विभव
Repulsive potential exponent,प्रतिकर्षी विभव घातांक
Rerconditioned carrier (wave),अनुकूलित वाहक (तरंग)
Rerun routine,पुनरावर्ती नेमका
Research,अनुसंधान
Research reactor,अनुसंधान रिऐक्टर
Research scientist,अनुसंधानी वैज्ञानिक
Research strategy,अनुसंधानी युक्ति
Researcher,अनुसंधायक
Reservoir,"कुंड, हौज, जलाशय, तैलाशय, भंडार, आशय"
Reservoir of heat,ऊष्मा भंडार
Reset,पुनः नियोजन
Reset pulse,पुनःस्पंद नियोजक
Resettable counter,"पुनर्नियोज्य गणित्र, पुनर्नियोज्य गणित्र"
Resetting time,पुनः काल नियोजन
Residual charge,अवशिष्ट आवेश
Residual constant,अवशिष्टांक
Residual contamination,अवशिष्ट संदूषण
Residual current,अवशिष्ट धारा
Residual deformation,अवशिष्ट विरूपण
Residual dispersion,अवशिष्ट वर्णविक्षेपण
Residual error,अवशिष्ट अशुद्धि
Residual factor,अवशिष्ट गुणक
Residual force,अवशिष्ट बल
Residual gravity,अवशिष्ट गुरूत्व
Residual magnetism,अवशिष्ट चुंबकत्व
Residual material,अवशिष्ट पदार्थ
Residual radioactivity,अवशिष्ट रेडियोऐक्टिवता
Residual ray,अवशिष्ट किरण
Residual resistance,अवशिष्ट प्रतिरोध
Residual resistivity,अवशिष्ट प्रतिरोधकता
Residual stress,अवशिष्ट प्रतिबल
Residual temperature error,अवशिष्ट ताप त्रुटि
Residual treatment effect,अवशिष्टोपचार प्रभाव
Residual variation,अवशिष्ट विचरण
Residual vector,अवशिष्ट सदिश
Residual velocity,अवशिष्ट वेग
Residue atom,अवशिष्ट परमाणु
Residue field,अवशेष-क्षेत्र
Residue system,अवशिष्ट तंत्र
Residuyal,"अवशिष्ट, अवशेष"
Resin bonded composite,रेज़िनबद्द सम्मिश्र
Resistance,"प्रतिरोधक, प्रतिरोध"
Resistance arm,भार-भुजा
Resistance box,प्रतिरोध-बाक्स
Resistance capacitance coupling,प्रतिरोध संधारित्र-युग्मन
Resistance coupling,प्रतिरोधी युग्मन
Resistance cyst,प्रतिरोधी पुटी
Resistance furnace,प्रतिरोध भट्टी
Resistance law,प्रतिरोध नियम
Resistance porometer,"प्रतिरोध रंध्रमापी, प्रतिरोध पोरोमीटर"
Resistance ratio,प्रतिरोध अनुपात
Resistance temperature coefficient,प्रतिरोध ताप गुणांक
Resistance thermometer,"प्रतिरोध तापमापी, प्रतिरोध थर्मामीटर"
Resistance welding,प्रतिरोध-संधान
Resisting medium,प्रतिरोधी माध्यम
Resistivity,प्रतिरोधकता
Resistivity curve,प्रतिरोधकता वक्र
Resistivity method,प्रतिरोधकता विधि
Resistometer,प्रतिरोधमापी
Resistor,प्रतिरोधक
Resistor colour code,प्रतिरोध वर्ण कोड
Resistor furnace,प्रतिरोधक भट्टी
Resistor-capacitor system,प्रतिरोधक-संधारित्र पद्धति
Resnatron,रेस्नेट्रॉन
Resolution,"वियोजन, खंडन, विभेदन"
Resolution of degeneracy,अपभ्रष्टता-वियोजन
Resolution of forces,बल-वियोजन
Resolution of nebula,नीहारिका का विभेदन
Resolution of velocities,वेग-वियोजन
Resolution pattern (=test chart),स्पष्टता परीक्षण चार्ट
Resolution time,विभेदन काल
Resolution time correction,"विभेदन काल संशोधन, विभेदन काल संशुद्धि"
Resolve,"खंड करना, विभेदन करना, वियोजन करना"
Resolved part,वियोजित भाग
Resolver,वियोजक
Resolving power,विभेदन क्षमता
Resolving time,विभेदन काल
Resonance,अनुनाद
Resonance absorption,अनुनादी अवशोषण
Resonance acceleration,अनुनादी त्वरण
Resonance acclerator,अनुनादी त्वरक
Resonance capture,अनुनाद परिग्रहण
Resonance condition,अनुनाद प्रतिबंध
Resonance cross section,अनुनाद परिक्षेत्र
Resonance curve,अनुनाद वक्र
Resonance degeneracy,अनुनाद अपभ्रष्टता
Resonance dip,अनुनादी गर्त
Resonance disintegration,नादी विघटन
Resonance effect,अनुनादी प्रभाव
Resonance energy,अनुनाद ऊर्जा
Resonance escape probabillity,अनुनादी पलायन प्रायिकता
Resonance filter,अनुनादी फ़िल्टर
Resonance fluorescence,अनुनाद प्रतिदीप्ति
Resonance force,अनुनाद बल
Resonance form,अनुनादी रूप
Resonance heating,अनुनादी तापन
Resonance hybrid,अनुनाद संकर
Resonance integral,अनुनादी समाकल
Resonance interaction,अनुनादी अन्योन्यक्रिया
Resonance lamp,अनुनादी दीप
Resonance level,अनुनाद स्तर
Resonance line,अनुनाद रेखा
Resonance method,अनुनाद विधि
Resonance neutron,अनुनादी न्यूट्रॉन
Resonance peak,अनुनाद शिखर (अनुनादी ऊर्जा शिखर)
Resonance penetration,अनुनादी वेधन
Resonance phosphorescence,अनुनाद स्फुरदीप्ति
Resonance potential,अनुनादी विभव
Resonance scattering,अनुनादी प्रकीर्म
Resonance series,अनुनाद श्रेणी
Resonance spectrum,अनुनाद स्पेक्ट्रम
Resonance stabilization,अनुनाद स्थायीकरण
Resonance stabilized intermediate,अनुनाद स्थायीकृत मध्यवर्ती
Resonance structure,"अनुनादी संरचना, रेज़ोनेन्स संरचना"
Resonance tube,अनुनाद नलिका
Resonance width,अनुनाद चौड़ाई
Resonancemeter,अनुनादमापी
Resonant,अनुनादी
Resonant cavity,अनुनादी कोटर
Resonant cavity maser,अनुनादी कोटर मेसर
Resonant deceleration,अनुनादज मंदन
Resonant line,अनुनादी लाइन
Resonant post,अनुनादी स्तंभ
Resonate,"अनुनादन, रेज़ोनेटन"
Resonating chamber,अनुनाद कक्ष
Resonating Ion,"अनुनादी आयन, रेज़ोनेटी आयन"
Resonator,अनुनादक
Responder,उत्तरदाता
Response,"उत्तर, अनुक्रिया, प्रतिवेदन"
Response curve,अनुक्रिया वक्र
Response cycle,अनुक्रिया आवर्तन
Response diagram,अनुक्रिया आरेख
Response error,उत्तर त्रुटि
Response function,अनुक्रिया फलन
Response mechanism,अनुक्रिया विधि
Response metameter,अनुक्रिया परिचल
Response point,अनुक्रिया बिन्दु
Response surface,अनुक्रिया पृष्ठ
Response time,अनुक्रिया काल
Response time distribution,अनुक्रिया काल बंटन
Responser,प्रति-उत्तर दर्शी
Responsiveness,अनुक्रियता
Rest,विराम
Rest energy,विराम ऊर्जा
Rest mass,विराम-द्रव्यमान
Rest mass density,विरामस्थ द्रव्यमान घनत्व
Rest point,विराम बिन्दु
Rest position,विराम स्थिति
Restart,पुनः प्रारम्भ
Resting frequency,शांत आवृत्ति
Resting moment,संतुलित आघूर्ण
Resting point,विराम बिन्दु
Resting potential,विराम विभव
Restitution,"प्रत्यानयन, प्रत्यवस्थान"
Restoring force,"प्रत्यनयन बल, प्रत्यवस्थान बल"
Restrainer,संयतकारी
Restricted area,प्रतिबंधित क्षेत्र
Restricted burning grain,सीमित ज्वलन ग्रेन
Restricted holonomy group,"नियंत्रित हालोनोमी-समूह, नियंत्रित हालोनोमी"
Restricted internal rotation,प्रतिबंधित आंतरिक घूर्णन
Restricted range,प्रतिबंधित परिसर
Restricted relativity,प्रतिबंधित आपेक्षिकता
Reststrahl reflection (=residual ray reflection),"अवशिष्ट किरण परावर्तन, रैस्टस्ट्रॉहल परावर्तन"
Reststrahl wavelength,अवशिष्ट तरंग दैर्घ्य
Reststrahlen,अवशिष्ट किरण
Result,"परिणाम, फल, नतीज़ा"
Resultant,"परिणामी, निराकरण फल"
Resultant couple,परिणामी बल-युग्म
Resultant displacement,परिणामी विस्थापन
Resultant force,परिणामी बल
Resultant moment,परिणामी आघूर्ण
Resultant vector,परिणामी सदिश
Resulting motion,परिणामी गति
Retainer plate,"धारक प्लेट, धारक पट्टिका"
Retaining pin,धारण-पिन
Retard transmitter,विलंबी प्रेषित्र
Retarded,मंदित
Retarded field,मंदित क्षेत्र
Retarded flow,मंदित प्रवाह
Retarded motion,मंदित गति
Retarded potential,विलंबित विभव
Retarder,मंदक
Retarding coil,विरोधक कुंडली
Retarding electrode,मंदक इलेक्ट्रोड
Retarding factor,मंदक उपादान
Retarding field,मंदक क्षेत्र
Retarding field oscillator,मंदक क्षेत्र दोलक
Retarding potential,मंदक विभव
Retention,धारण
Retention index,धारण सूचकांक
Retention period,धारण-अवधि
Retention pressure,धारण दाब
Retention time,धारणकाल
Retention volume,धारण अयतन
Retentive power,धारण क्षमता
Retentiveness,धारणशीलता
Retentivity,धारकता
Retgers law,रेट्जर्स नियम
Reticle,रेटिकल
Reticule,रेटिक्यूल
Retina,"दृष्टिपटल, रेटिना"
